Title,Start,End,Description,WebPage,Media,Media Caption,Media Credits,Tags,Place,Location
Russell Crowe en el papel de 'Maximus Decimus Meridius' (Gladiator),01/01/2000,,"Gladiator is a 2000 epic historical drama film directed by Ridley Scott, starring Russell Crowe, Joaquin Phoenix, Connie Nielsen, Ralf Möller, Oliver Reed, Djimon Hounsou, Derek Jacobi, John Shrapnel and Richard Harris. Crowe portrays the fictional character, loyal Roman general Maximus Decimus Meridius, who is betrayed when the emperor's ambitious son, Commodus, murders his father and seizes the throne. Reduced to slavery, Maximus rises through the ranks of the gladiatorial arena to avenge the murder of his family and his emperor. Released in the United States on May 5, 2000, Gladiator was a box office success, receiving positive reviews, and was credited with rekindling interest in the historical epic. The film was nominated for and won multiple awards, notably five Academy Awards in the 73rd Academy Awards including Best Picture and Best Actor for Crowe.",http://www.youtube.com/watch?v=mO9nI4NmWak,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Gladiator_ver1.jpg/200px-Gladiator_ver1.jpg,Gladiator (Film),Wikimedia,,,
Kevin Spacey en el papel de 'Lester Burnham' (American Beauty),01/01/1999,,"American Beauty is a 1999 American drama film directed by Sam Mendes and written by Alan Ball. Kevin Spacey stars as office worker Lester Burnham, who has a midlife crisis when he becomes infatuated with his teenage daughter's best friend, Angela. Annette Bening co-stars as Lester's materialistic wife, Carolyn, and Thora Birch plays their insecure daughter, Jane; Wes Bentley, Chris Cooper, and Allison Janney also feature. The film has been described by academics as a satire of American middle class notions of beauty and personal satisfaction; analysis has focused on the film's explorations of romantic and paternal love, sexuality, beauty, materialism, self-liberation, and redemption. Ball began writing American Beauty as a play in the early 1990s, partly inspired by the media circus around the Amy Fisher trial in 1992. He shelved the play after realizing the story would not work on stage. After several years as a television screenwriter, Ball revived the idea in 1997 when attempting to break into the film industry. The modified script had a cynical outlook that was influenced by Ball's frustrating tenures writing for several sitcoms. Producers Dan Jinks and Bruce Cohen took American Beauty to DreamWorks; the fledgling film studio bought Ball's script for $250,000, outbidding several other production bodies. DreamWorks financed the $15 million production and served as the North American distributor. American Beauty marked acclaimed theater director Mendes' film debut; courted after his successful productions of the musicals Oliver! and Cabaret, Mendes was nevertheless only given the job after twenty others were considered and several ""A-list"" directors turned down the opportunity. Spacey was Mendes' first choice for the role of Lester, even though DreamWorks had urged the director to consider better-known actors; similarly, the studio suggested several actors for the role of Carolyn until Mendes offered the part to Bening without DreamWorks' knowledge. Principal photography took place between December 1998 and February 1999 on soundstages at the Warner Bros. backlot in Burbank, California and on location in Los Angeles. Mendes' dominant style was deliberate and composed; he made extensive use of static shots and slow pans and zooms to generate tension. Cinematographer Conrad Hall complemented Mendes' style with peaceful shot compositions to contrast with the turbulent on-screen events. During editing, Mendes made several changes that gave the film a less cynical tone. Released in North America on September 15, 1999, American Beauty was positively received by critics and audiences alike; it was the best-reviewed American film of the year and grossed over $350 million worldwide. Reviewers praised most aspects of the production, with particular emphasis on Mendes, Spacey and Ball; criticism tended to focus on the familiarity of the characters and setting. DreamWorks launched a major campaign to increase American Beauty's chances of Academy Award success; at the 72nd Academy Awards the following year, the film won Best Picture, Best Director, Best Actor (for Spacey), Best Original Screenplay and Best Cinematography.",http://www.hossli.com/articles/2007/04/01/fame-hasnt-really-intruded-on-my-life/,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/American_Beauty_poster.jpg/200px-American_Beauty_poster.jpg,American Beauty (Film),Wikimedia,,United States,"37.09024,-95.712891"
Roberto Benigni en el papel de 'Guido' (Life Is Beautiful),01/01/1998,,"Life Is Beautiful (Italian: La vita è bella) is a 1997 Italian comedy-drama film directed by and starring Roberto Benigni. Benigni plays Guido Orefice, a Jewish Italian book shop owner, who must employ his fertile imagination to shield his son from the horrors of internment in a Nazi concentration camp. Part of the film came from Benigni's own family history; before Roberto's birth, his father had survived three years of internment at the Bergen-Belsen concentration camp. The film was a critical and financial success, winning Benigni the Academy Award for Best Actor at the 71st Academy Awards as well as the Academy Award for Best Original Dramatic Score and the Academy Award for Best Foreign Language Film.",http://www.florencevillas.com/florence-tuscany-guide/peoples/roberto-benigni.html,http://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Vitaebella.jpg/200px-Vitaebella.jpg,Life Is Beautiful,Wikimedia,,Italy,"41.87194,12.56738"
Jack Nicholson en el papel de 'Melvin Udall' (As Good as It Gets),01/01/1997,,"As Good as It Gets is a 1997 American romantic comedy film directed by James L. Brooks and produced by Laura Ziskin. It stars Jack Nicholson as a misanthropic, obsessive-compulsive novelist, Helen Hunt as a single mother with an asthmatic son, and Greg Kinnear as a gay artist. The screenplay was written by Mark Andrus and James L. Brooks. Nicholson and Hunt won the Academy Award for Best Actor and Academy Award for Best Actress, respectively, making As Good As It Gets the latest film to win both of the lead acting awards, and the first since 1991's The Silence of the Lambs. It is ranked 140th on Empire magazine's ""The 500 Greatest Movies of All Time"" list.",http://blogs.amctv.com/diagnosing_jack_nicholson/,http://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/As_good_as_it_gets.jpg/200px-As_good_as_it_gets.jpg,As Good as It Gets,Wikimedia,,United States,"37.09024,-95.712891"
Geoffrey Rush en el papel de 'David Helfgott' (Shine),01/01/1996,,"Shine is a 1996 Australian film based on the life of pianist David Helfgott, who suffered a mental breakdown and spent years in institutions. It stars Geoffrey Rush, Lynn Redgrave, Armin Mueller-Stahl, Noah Taylor, John Gielgud, Googie Withers, Justin Braine, Sonia Todd, Nicholas Bell, Chris Haywood and Alex Rafalowicz. The screenplay was written by Jan Sardi, and Scott Hicks directed the film. The degree to which the film's plot reflects the true story of Helfgott's life is disputed (see below). The film made its US premiere at the Sundance Film Festival. Geoffrey Rush was awarded the Academy Award for Best Actor in 1997 for his performance in the lead role.",http://www.nla.gov.au/apps/picturescatalogue?action=PCSearch&mode=search&attribute2=Aggregation&term2=BIB&op1=AND&attribute1=any+field&term1=geoffrey+rush&x=17&y=14,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Shine_ver1.jpg/200px-Shine_ver1.jpg,Shine (film),Wikimedia,,Australia,"-25.274398,133.775136"
Nicolas Cage en el papel de 'Ben Sanderson' (Leaving Las Vegas),01/01/1995,,"Leaving Las Vegas is a 1995 romantic drama film directed and written by Mike Figgis, based on a semi-autobiographical novel of the same name by John O'Brien. Nicolas Cage stars as a suicidal alcoholic who has ended his personal and professional life to drink himself to death in Las Vegas. While there, he forms a relationship with a hardened prostitute, played by Elisabeth Shue, which forms the center of the film. O'Brien committed suicide two weeks after production of the film started. A halt was considered, but work continued as a tribute. Leaving Las Vegas was filmed in super 16mm instead of 35 mm film which is most commonly used for mainstream film, although 16 mm is common for art house films. After limited release in the United States on October 27, 1995, Leaving Las Vegas made its nationwide release on February 9, 1996, receiving strong praise from critics and audiences. Cage received the Golden Globe Award for Best Actor - Motion Picture Drama and the Academy Award for Best Actor, while Shue was nominated for the Academy Award for Best Actress. The film also received nominations for Best Adapted Screenplay and Best Director.",http://filmforce.ign.com/articles/724/724189p1.html,http://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Leaving_las_vegas_ver1.jpg/200px-Leaving_las_vegas_ver1.jpg,Leaving Las Vegas,Wikimedia,,,
Tom Hanks en el papel de 'Forrest Gump' (Forrest Gump),01/01/1994,,"Forrest Gump is a 1994 American epic romantic comedy-drama film based on the 1986 novel of the same name by Winston Groom. The film was directed by Robert Zemeckis and starred Tom Hanks, Robin Wright, Gary Sinise and Sally Field. The story depicts several decades in the life of Forrest Gump, a naïve and slow-witted yet athletically prodigious native of Alabama who witnesses, and in some cases influences, some of the defining events of the latter half of the 20th century in the United States; more specifically, the period between Forrest's birth in 1944 and 1982. The film differs substantially from Winston Groom's novel on which it is based, including Gump's personality and several events that were depicted. Filming took place in late 1993, mainly in Georgia, North Carolina, and South Carolina. Extensive visual effects were used to incorporate the protagonist into archived footage and to develop other scenes. A comprehensive soundtrack was featured in the film, using music intended to pinpoint specific time periods portrayed on screen. Its commercial release made it a top-selling soundtrack, selling over twelve million copies worldwide. Released in the United States on July 6, 1994, Forrest Gump was well received by critics and became a commercial success as the top grossing film in North America released that year, being the first major success for Paramount Pictures since the studio's sale to Viacom earlier in the year. The film earned over $677 million worldwide during its theatrical run. The film won the Academy Awards for Best Picture, Best Director for Robert Zemeckis, Best Actor for Tom Hanks, Best Adapted Screenplay, Best Visual Effects and Best Film Editing. It also garnered multiple other awards and nominations, including Golden Globe Awards, People's Choice Awards and Young Artist Awards, among others. Since the film's release, varying interpretations have been made of the film's protagonist and its political symbolism. In 1996, a themed restaurant, Bubba Gump Shrimp Company, opened based on the film, and has since expanded to multiple locations worldwide. The scene of Gump running across the country is often referred to when real-life people attempt the feat. In 2011, the Library of Congress selected Forrest Gump for preservation in the United States National Film Registry as being ""culturally, historically, or aesthetically significant"".",http://support.nature.org/site/PageServer?pagename=tomhanks_ed6,http://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Forrest_Gump_poster.jpg/200px-Forrest_Gump_poster.jpg,Forrest Gump,Wikimedia,,United States,"37.09024,-95.712891"
Tom Hanks en el papel de 'Andrew Beckett' (Philadelphia),01/01/1993,,"Philadelphia is a 1993 American drama film and one of the first mainstream Hollywood films to acknowledge HIV/AIDS, homosexuality, and homophobia. It was written by Ron Nyswaner, directed by Jonathan Demme and stars Tom Hanks and Denzel Washington. Tom Hanks won the Academy Award for Best Actor for his role in the film, while the song ""Streets of Philadelphia"" by Bruce Springsteen won the Academy Award for Best Original Song. Ron Nyswaner was also nominated for the Academy Award for Best Original Screenplay, but lost to Jane Campion for The Piano.",,http://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Philadelphia_imp.jpg/200px-Philadelphia_imp.jpg,Philadelphia (Film),Wikimedia,,United States,"37.09024,-95.712891"
Al Pacino en el papel de 'Lt. Col. Frank Slade' (Scent of a Woman),01/01/1992,,"Scent of a Woman is a 1992 American drama film directed by Martin Brest that tells the story of a preparatory school student who takes a job as an assistant to an irascible, blind, medically retired Army officer. It stars Al Pacino, Chris O'Donnell, James Rebhorn, Philip Seymour Hoffman, and Gabrielle Anwar. It is a remake of Dino Risi's 1974 Italian film Profumo di donna. The film was adapted by Bo Goldman from the novel Il buio e il miele (Italian: Darkness and Honey) by Giovanni Arpino and from the 1974 screenplay by Ruggero Maccari and Dino Risi. Goldman originally titled his adaptation ""Stench of a Woman"", which was met by resistance from the studio. It was directed by Martin Brest. Pacino won the Academy Award for Best Actor for his performance and the film was nominated for Best Director, Best Picture and Best Adapted Screenplay. The film won three major awards at the Golden Globe Awards: Best Adapted Screenplay, Best Actor and Best Motion Picture – Drama. The film was shot primarily around New York state. Portions of the movie were filmed on location at Princeton University in Princeton, New Jersey; at the Emma Willard School, an all-girls school in Troy, New York; and at the Ethical Culture Fieldston School in New York City.",http://www.emmys.com/celebrities/al-pacino,http://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Scent_of_a_Woman.jpg/200px-Scent_of_a_Woman.jpg,Scent of a Woman (1992 film),Wikimedia,,United States,"37.09024,-95.712891"
Anthony Hopkins en el papel de 'Dr. Hannibal Lecter' (The Silence of the Lambs),01/01/1991,,"The Silence of the Lambs is a 1991 American thriller film that blends elements of the crime and horror genres. It was directed by Jonathan Demme and stars Jodie Foster, Anthony Hopkins, Ted Levine, and Scott Glenn. It is based on Thomas Harris' 1988 novel of the same name, his second to feature Hannibal Lecter, a brilliant psychiatrist and cannibalistic serial killer. In the film, Clarice Starling, a young U.S. Federal Bureau of Investigation trainee, seeks the advice of the imprisoned Dr. Lecter to apprehend another serial killer, known only as ""Buffalo Bill"". The Silence of the Lambs was released on February 14, 1991, and grossed over $272 million. It was the third film to win Academy Awards in all the top five categories: Best Picture, Best Actress, Best Actor, Best Director and Best Writing (Adapted Screenplay). It is also the first Best Picture winner widely considered to be a horror film, and only the second such film to be nominated in the category, after The Exorcist in 1973. The film is considered ""culturally, historically or aesthetically"" significant by the U.S. Library of Congress and was selected to be preserved in the National Film Registry in 2011.","http://www.bafta.org/awards/film/2008-fellow-of-the-academy,289,BA.html",http://upload.wikimedia.org/wikipedia/commons/thumb/8/86/The_Silence_of_the_Lambs_poster.jpg/200px-The_Silence_of_the_Lambs_poster.jpg,The Silence of the Lambs (film),Wikimedia,,United States,"37.09024,-95.712891"
Jeremy Irons en el papel de 'Claus Von Bulow' (Reversal of Fortune),01/01/1990,,"Reversal of Fortune is a 1990 film adapted from the 1985 book Reversal of Fortune: Inside the von Bülow Case, written by law professor Alan Dershowitz. It recounts the true story of the unexplained coma of socialite Sunny von Bülow, the subsequent attempted murder trial, and the eventual acquittal of her husband, Claus von Bülow, who had Dershowitz acting as his defense. The film stars Jeremy Irons as Claus, Glenn Close as Sunny, and Ron Silver as Dershowitz.",http://www.telegraph.co.uk/arts/main.jhtml?xml=/arts/2008/03/15/sm_jeremyirons15.xml,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Reversal_of_fortune_poster.jpg/200px-Reversal_of_fortune_poster.jpg,Reversal of Fortune,Wikimedia,,United States,"37.09024,-95.712891"
Daniel Day Lewis en el papel de 'Christy Brown' (My Left Foot),01/01/1989,,"My Left Foot: The Story of Christy Brown is a 1989 drama film directed by Jim Sheridan and starring Daniel Day-Lewis. It tells the true story of Christy Brown, an Irishman born with cerebral palsy, who could control only his left foot. Christy Brown grew up in a poor, working-class family, and became a writer and artist. The film also stars Ray McAnally, Brenda Fricker, Fiona Shaw, Julie Hale, Alison Whelan, Kirsten Sheridan, Declan Croghan, Eanna MacLiam, Marie Conmee, and Cyril Cusack. It was adapted by Shane Connaughton and Jim Sheridan from the book of the same name by Christy Brown. The film was well-received by critics and audiences alike. Day-Lewis was praised for his portrayal of Brown, which earned him his first Academy Award for Best Actor. Fricker also won an Academy Award for Best Supporting Actress.",,http://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/My_Left_Foot.jpg/200px-My_Left_Foot.jpg,My Left Foot (film),Wikimedia,,Ireland,"53.41291,-8.24389"
Dustin Hoffman en el papel de 'Raymond Babbitt' (Rain Man),01/01/1988,,"Rain Man is a 1988 American drama film directed by Barry Levinson and written by Barry Morrow and Ronald Bass. It tells the story of an abrasive and selfish yuppie, Charlie Babbitt, who discovers that his estranged father has died and bequeathed all of his multimillion-dollar estate to his other son, Raymond, an autistic savant of whose existence Charlie was unaware. The film stars Dustin Hoffman as Raymond Babbitt, Tom Cruise as Charlie Babbitt and Valeria Golino as Charlie's girlfriend, Susanna. Morrow created the character of Raymond after meeting Kim Peek, a real-life savant; his characterization was based on both Peek and Bill Sackter, a good friend of Morrow who was the subject of Bill, an earlier film that Morrow wrote. Rain Man received overwhelmingly positive reviews at the time of its release, praising Hoffman's role and the wit and sophistication of the screenplay. The film won four Oscars at the 61st Academy Awards (March 1989), including Best Picture, Best Original Screenplay, Best Director, and Best Actor in a Leading Role for Hoffman. Its crew received an additional four nominations. The film also won the Golden Bear at the 39th Berlin International Film Festival.",http://www.stv.tv/content/out/film/videointerviews/display.html?id=opencms:/out/films/video_interviews/stv__Movies__Dustin_Hoffman_video_inte_20071214,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Rain_Man_poster.jpg/200px-Rain_Man_poster.jpg,Rain Man,Wikimedia,,United States,"37.09024,-95.712891"
